,id,topic_id,timestamp,data
0,1,1,1643988688898842886,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988688, nanosec=898359007), level=20, name='dc_motor', msg=""Publishing velocity: '0.000000'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
1,2,1,1643988688898975860,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988688, nanosec=898839673), level=20, name='dc_motor', msg=""Publishing current: '0.000000'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
2,3,4,1643988688899013988,std_msgs.msg.Float32(data=0.0)
3,4,5,1643988688899045643,std_msgs.msg.Float32(data=0.0)
4,5,6,1643988688914440561,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=879400000))"
5,6,6,1643988689016322401,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=888900000))"
6,7,1,1643988689093109433,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988689, nanosec=92853563), level=20, name='minimal_publisher', msg=""Publishing: '5'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
7,8,3,1643988689093292682,std_msgs.msg.Int32(data=5)
8,9,6,1643988689116557404,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=899000000))"
9,10,6,1643988689217129395,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=909300000))"
10,11,6,1643988689317967914,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=919100000))"
11,12,6,1643988689418123939,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=929200000))"
12,13,6,1643988689518689346,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=939300000))"
13,14,6,1643988689619242281,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=949200000))"
14,15,6,1643988689719789865,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=959000000))"
15,16,6,1643988689819745824,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=969000000))"
16,17,1,1643988689898847993,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988689, nanosec=898159866), level=20, name='dc_motor', msg=""Publishing velocity: '3.680574'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
17,18,4,1643988689899183253,std_msgs.msg.Float32(data=3.6805741786956787)
18,19,1,1643988689899574033,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988689, nanosec=898467494), level=20, name='dc_motor', msg=""Publishing current: '0.581781'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
19,20,5,1643988689899881596,std_msgs.msg.Float32(data=0.581780731678009)
20,21,6,1643988689920394841,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=978800000))"
21,22,6,1643988690020654486,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=988700000))"
22,23,1,1643988690093526666,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988690, nanosec=92922168), level=20, name='minimal_publisher', msg=""Publishing: '10'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
23,24,3,1643988690093833173,std_msgs.msg.Int32(data=10)
24,25,6,1643988690120988490,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=5, nanosec=998700000))"
25,26,6,1643988690221684289,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=9000000))"
26,27,6,1643988690322594876,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=19000000))"
27,28,6,1643988690422378248,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=29000000))"
28,29,6,1643988690523395936,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=39100000))"
29,30,6,1643988690623404708,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=49200000))"
30,31,6,1643988690723617472,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=59300000))"
