velocityx,velocityy,velocityz, attitudew,attitudex,attitudey,attitudez,error attitudew,error attitudex,error attitudey,error attitudez, filtered velocityx,filtered velocityy,filtered velocityz, filtered attitudew,filtered attitudex,filtered attitudey,filtered attitudez, sliding variablex,sliding variabley, sliding variablez, control signalx,control signaly,control signalz 
-0.00919274,-0.000953152,-0.00450022,0.999868,-0.0064625,0.00851304,0.0122081,-0.643196,0.166053,-0.738898,-0.112914,-0.0168574,-0.00174213,-0.00824277,0.999997,-6.76813e-05,8.91864e-05,0.000127904,-4.99844,22.1652,3.37919,-1.88878e-05,9.33465e-07,-4.40564e-06
0.0114084,-0.00130137,-0.00721551,0.999797,0.00157896,0.000284055,0.0200652,-0.643188,0.165999,-0.738912,-0.112966,0.0176151,-0.00120445,-0.00698936,0.999999,-7.03495e-05,8.90115e-05,0.000203858,-4.96235,22.1661,3.38198,1.55046e-05,1.46589e-06,-8.73612e-07
0.00103573,-0.0150872,-0.0179107,0.99992,0.00590519,0.0104557,-0.00385309,-0.643176,0.165996,-0.738928,-0.112935,-0.00101528,-0.016805,-0.0192629,1,-4.60821e-05,0.000113506,0.000190139,-4.9809,22.151,3.36878,-2.39774e-06,-1.33999e-05,-1.35587e-05
-0.0035118,0.00609539,0.00576715,0.999918,-0.00833249,0.00410827,-0.00884574,-0.643179,0.166025,-0.738921,-0.112929,-0.00376024,0.00837094,0.00825406,1,-6.13087e-05,0.000111257,0.000163468,-4.98452,22.176,3.39613,-5.5995e-06,1.17086e-05,1.31581e-05
0.00902463,0.00648828,-0.0232144,0.999769,-0.00285091,-0.0186871,-0.0101889,-0.643195,0.166034,-0.738904,-0.112931,0.0101149,0.00632774,-0.0258984,1,-6.73478e-05,8.92641e-05,0.000153379,-4.97091,22.1735,3.36203,8.09446e-06,9.00566e-06,-2.1297e-05
-0.00498567,0.00184057,0.00564682,0.999957,-0.00597787,-0.00701726,-0.00100365,-0.6432,0.166046,-0.738898,-0.112923,-0.00614074,0.00149756,0.00805959,1,-6.88091e-05,8.42685e-05,0.000137625,-4.98753,22.1684,3.39574,-8.20501e-06,4.02562e-06,1.21883e-05
-0.00951268,-0.00328817,-0.00724726,0.999935,-0.00895732,-0.00455897,-0.00546757,-0.643201,0.166055,-0.738894,-0.112932,-0.00975305,-0.00362868,-0.00833639,1,-8.15199e-05,8.02403e-05,0.000136232,-4.9914,22.1632,3.37962,-1.21986e-05,-1.22147e-06,-4.24943e-06
-0.0224466,0.00766782,0.00347798,0.999969,-0.00592882,4.66318e-05,-0.00509545,-0.643202,0.166069,-0.73889,-0.112934,-0.0233107,0.00843645,0.00428176,1,-9.24139e-05,7.81962e-05,0.000126701,-5.00538,22.1751,3.3923,-2.60831e-05,1.07823e-05,8.0828e-06
-0.00203262,-0.000269954,0.00368715,0.999867,0.00941082,0.0126855,-0.0041455,-0.64319,0.166075,-0.738899,-0.112934,-0.000621762,-0.00084709,0.00364793,1,-9.72353e-05,9.36506e-05,0.000125428,-4.98286,22.1661,3.39168,-3.53882e-06,1.96243e-06,7.41077e-06
0.0127539,-0.0189491,0.0104509,0.9997,-0.0107703,0.0111233,0.0189831,-0.64318,0.166069,-0.738906,-0.11295,0.0136307,-0.0201357,0.010897,1,-0.000106004,0.000101884,0.000142336,-4.96843,22.1471,3.3994,1.04506e-05,-1.70792e-05,1.51671e-05
0.00645895,-0.000716354,-0.0142869,0.999684,-0.00122834,0.0237081,-0.00825645,-0.643177,0.166065,-0.738911,-0.112944,0.00599057,0.000552446,-0.0159324,1,-9.92658e-05,0.000108101,0.000142196,-4.97596,22.1679,3.37239,3.01259e-06,3.79548e-06,-1.16665e-05
0.00334457,-0.00579958,-0.0122024,0.999757,0.00422136,0.0215569,-0.00208258,-0.643168,0.16607,-0.73892,-0.11293,0.00317123,-0.0062159,-0.0119583,1,-9.29398e-05,0.000123297,0.000131807,-4.97894,22.1614,3.37595,3.83033e-07,-2.51698e-06,-8.00412e-06
0.00178193,0.000936303,0.00194409,0.999952,-0.0061692,-0.00714959,-0.00245881,-0.643175,0.166077,-0.738913,-0.112928,0.00169024,0.00140801,0.00286097,1,-9.51802e-05,0.000115057,0.000123461,-4.98063,22.1688,3.3907,-1.16516e-06,4.85972e-06,6.56481e-06
